TIME;ACC[ROLL];GYRO[ROLL];ANGLE[ROLL];TARGET_ANGLE[ROLL];FRAME_ANGLE[ROLL];POWER[ROLL];ACC[PITCH];GYRO[PITCH];ANGLE[PITCH];TARGET_ANGLE[PITCH];FRAME_ANGLE[PITCH];POWER[PITCH];ACC[YAW];GYRO[YAW];ANGLE[YAW];TARGET_ANGLE[YAW];FRAME_ANGLE[YAW];POWER[YAW];RC_ROLL;RC_PITCH;RC_YAW;RC_CMD;EXT_FC_ROLL;EXT_FC_PITCH;BAT_VOLTAGE;RMS_ERR[ROLL];FREQ[ROLL];RMS_ERR[PITCH];FREQ[PITCH];RMS_ERR[YAW];FREQ[YAW]
02:06:03.440;-80;-13;-8.745117;0.0;-8.745117;0;-6;24;-1.40625;0.0;-2.0214844;0;510;1;8.239746;0.0;0.0;0;;;;;;;0;11;53;6;73;1;199
02:06:03.488;-81;8;-8.745117;0.0;-8.745117;0;-5;-15;-1.40625;0.0;-2.0214844;0;507;-1;8.239746;0.0;0.0;0;;;;;;;0;15;52;8;71;1;188
02:06:03.545;-82;0;-8.76709;0.0;-8.76709;0;-7;-7;-1.40625;0.0;-2.043457;0;506;-1;8.239746;0.0;0.0;0;;;;;;;0;9;52;5;70;0;204
02:06:03.593;-79;3;-8.76709;0.0;-8.76709;0;-7;-1;-1.40625;0.0;-2.043457;0;509;1;8.239746;0.0;0.0;0;;;;;;;0;7;52;4;68;0;197
02:06:03.640;-83;0;-8.76709;0.0;-8.76709;0;-7;-1;-1.40625;0.0;-2.043457;0;509;1;8.239746;0.0;0.0;0;;;;;;;0;4;53;2;67;1;193
02:06:03.696;-79;6;-8.745117;0.0;-8.745117;0;-7;-3;-1.40625;0.0;-2.043457;0;508;-2;8.239746;0.0;0.0;0;;;;;;;0;12;53;7;66;1;190
02:06:03.744;-77;-5;-8.745117;0.0;-8.745117;0;-5;16;-1.40625;0.0;-2.043457;0;509;2;8.239746;0.0;0.0;0;;;;;;;0;11;54;6;65;0;191
02:06:03.791;-81;1;-8.745117;0.0;-8.745117;0;-9;-2;-1.40625;0.0;-2.043457;0;506;-1;8.239746;0.0;0.0;0;;;;;;;0;12;53;7;64;0;232
02:06:03.848;-81;0;-8.745117;0.0;-8.745117;0;-5;-3;-1.40625;0.0;-2.043457;0;510;-2;8.239746;0.0;0.0;0;;;;;;;0;6;54;3;64;1;222
02:06:03.896;-82;2;-8.745117;0.0;-8.745117;0;-6;-2;-1.40625;0.0;-2.043457;0;510;0;8.239746;0.0;0.0;0;;;;;;;0;8;53;4;61;0;206
02:06:03.945;-82;1;-8.745117;0.0;-8.745117;0;-5;0;-1.40625;0.0;-2.043457;0;509;0;8.239746;0.0;0.0;0;;;;;;;0;3;55;1;61;1;209
02:06:04.01;-83;7;-8.745117;0.0;-8.745117;0;-6;-11;-1.40625;0.0;-2.043457;0;503;0;8.239746;0.0;0.0;0;;;;;;;0;2;54;1;76;0;218
02:06:04.51;-82;1;-8.745117;0.0;-8.76709;0;-4;0;-1.4282227;0.0;-2.0654297;0;511;0;8.239746;0.0;0.0;0;;;;;;;0;12;54;6;75;1;228
02:06:04.100;-84;-3;-8.76709;0.0;-8.76709;0;-7;3;-1.4282227;0.0;-2.0654297;0;504;0;8.239746;0.0;0.0;0;;;;;;;0;8;54;5;73;1;225
02:06:04.154;-82;1;-8.76709;0.0;-8.76709;0;-8;-1;-1.4282227;0.0;-2.0654297;0;510;0;8.239746;0.0;0.0;0;;;;;;;0;6;54;4;71;1;215
02:06:04.202;-81;0;-8.76709;0.0;-8.76709;0;-6;3;-1.4282227;0.0;-2.0654297;0;509;2;8.239746;0.0;0.0;0;;;;;;;0;3;53;1;71;1;204
02:06:04.250;-82;1;-8.745117;0.0;-8.76709;0;-7;0;-1.4282227;0.0;-2.0654297;0;506;0;8.239746;0.0;0.0;0;;;;;;;0;3;54;2;71;1;206
02:06:04.307;-83;-9;-8.745117;0.0;-8.745117;0;-6;14;-1.4282227;0.0;-2.0654297;0;503;0;8.239746;0.0;0.0;0;;;;;;;0;7;54;4;69;0;206
02:06:04.355;-80;1;-8.745117;0.0;-8.745117;0;-7;-5;-1.40625;0.0;-2.0654297;0;505;-1;8.239746;0.0;0.0;0;;;;;;;0;8;54;4;68;1;221
02:06:04.403;-82;1;-8.745117;0.0;-8.745117;0;-6;-2;-1.40625;0.0;-2.0654297;0;509;0;8.239746;0.0;0.0;0;;;;;;;0;5;53;3;66;1;212
02:06:04.459;-80;2;-8.745117;0.0;-8.745117;0;-3;-4;-1.40625;0.0;-2.0654297;0;509;0;8.239746;0.0;0.0;0;;;;;;;0;3;53;2;65;0;209
02:06:04.507;-80;3;-8.745117;0.0;-8.745117;0;-7;-1;-1.40625;0.0;-2.0654297;0;510;-1;8.239746;0.0;0.0;0;;;;;;;0;2;54;1;65;1;205
02:06:04.555;-80;-2;-8.745117;0.0;-8.745117;0;-3;7;-1.4282227;0.0;-2.0654297;0;509;0;8.239746;0.0;0.0;0;;;;;;;0;3;54;1;65;1;197
02:06:04.612;-81;0;-8.745117;0.0;-8.76709;0;-4;1;-1.4282227;0.0;-2.0654297;0;508;-1;8.239746;0.0;0.0;0;;;;;;;0;4;54;2;64;1;201
02:06:04.662;-84;1;-8.745117;0.0;-8.76709;0;-6;-4;-1.4282227;0.0;-2.0654297;0;507;-1;8.239746;0.0;0.0;0;;;;;;;0;6;53;4;63;1;215
02:06:04.710;-80;0;-8.76709;0.0;-8.76709;0;-5;6;-1.4282227;0.0;-2.0654297;0;508;1;8.239746;0.0;0.0;0;;;;;;;0;5;54;3;62;0;209
02:06:04.767;-81;0;-8.745117;0.0;-8.76709;0;-4;2;-1.4282227;0.0;-2.0654297;0;507;-4;8.239746;0.0;0.0;0;;;;;;;0;3;53;2;61;1;203
02:06:04.815;-81;-2;-8.745117;0.0;-8.745117;0;-6;0;-1.4282227;0.0;-2.0654297;0;504;-1;8.239746;0.0;0.0;0;;;;;;;0;2;53;1;72;1;189
02:06:04.862;-81;-2;-8.745117;0.0;-8.745117;0;-6;4;-1.4282227;0.0;-2.0654297;0;504;0;8.239746;0.0;0.0;0;;;;;;;0;6;53;3;71;1;178
02:06:04.918;-80;-1;-8.745117;0.0;-8.745117;0;-7;2;-1.40625;0.0;-2.0654297;0;507;0;8.239746;0.0;0.0;0;;;;;;;0;3;53;1;77;1;181
02:06:04.966;-80;0;-8.745117;0.0;-8.745117;0;-6;-2;-1.40625;0.0;-2.0654297;0;508;-1;8.239746;0.0;0.0;0;;;;;;;0;3;54;2;78;1;183
02:06:05.16;-81;1;-8.745117;0.0;-8.745117;0;-5;0;-1.4282227;0.0;-2.0654297;0;506;-3;8.239746;0.0;0.0;0;;;;;;;0;3;54;2;83;1;181
02:06:05.72;-78;0;-8.745117;0.0;-8.745117;0;-7;-4;-1.4282227;0.0;-2.0654297;0;511;-2;8.239746;0.0;0.0;0;;;;;;;0;2;55;1;85;1;172
02:06:05.119;-81;1;-8.745117;0.0;-8.745117;0;-6;-2;-1.4282227;0.0;-2.0654297;0;508;0;8.239746;0.0;0.0;0;;;;;;;0;2;55;1;89;0;169
02:06:05.176;-84;0;-8.745117;0.0;-8.745117;0;-8;1;-1.4282227;0.0;-2.0654297;0;508;0;8.239746;0.0;0.0;0;;;;;;;0;1;60;1;102;0;169
02:06:05.224;-81;-1;-8.76709;0.0;-8.745117;0;-5;5;-1.4282227;0.0;-2.0654297;0;507;-2;8.239746;0.0;0.0;0;;;;;;;0;1;73;0;124;0;178
02:06:05.272;-79;0;-8.745117;0.0;-8.745117;0;-5;3;-1.4282227;0.0;-2.0654297;0;507;-1;8.239746;0.0;0.0;0;;;;;;;0;1;80;1;133;1;202
02:06:05.328;-81;1;-8.745117;0.0;-8.745117;0;-5;-2;-1.4282227;0.0;-2.0654297;0;509;0;8.239746;0.0;0.0;0;;;;;;;0;2;96;1;128;1;202
02:06:05.376;-81;0;-8.745117;0.0;-8.745117;0;-7;-3;-1.4282227;0.0;-2.0654297;0;509;0;8.239746;0.0;0.0;0;;;;;;;0;2;97;1;129;1;205
02:06:05.432;-80;2;-8.745117;0.0;-8.745117;0;-5;-2;-1.40625;0.0;-2.0654297;0;510;0;8.239746;0.0;0.0;0;;;;;;;0;1;98;0;125;1;214
02:06:05.480;-80;-1;-8.745117;0.0;-8.745117;0;-5;0;-1.40625;0.0;-2.0654297;0;503;0;8.239746;0.0;0.0;0;;;;;;;0;1;117;1;126;1;200
02:06:05.529;-81;1;-8.745117;0.0;-8.745117;0;-5;-1;-1.40625;0.0;-2.0654297;0;509;0;8.217773;0.0;0.0;0;;;;;;;0;1;125;1;132;1;195
02:06:05.586;-83;5;-8.745117;0.0;-8.745117;0;-6;-8;-1.40625;0.0;-2.0654297;0;508;0;8.217773;0.0;0.0;0;;;;;;;0;4;123;2;132;1;234
02:06:05.634;-80;0;-8.745117;0.0;-8.76709;0;-5;-1;-1.40625;0.0;-2.0654297;0;507;1;8.217773;0.0;0.0;0;;;;;;;0;4;117;2;125;0;230
02:06:05.690;-80;-1;-8.745117;0.0;-8.76709;0;-6;0;-1.40625;0.0;-2.0654297;0;507;0;8.217773;0.0;0.0;0;;;;;;;0;2;112;1;127;1;227
02:06:05.737;-79;1;-8.76709;0.0;-8.76709;0;-6;0;-1.40625;0.0;-2.0654297;0;509;0;8.217773;0.0;0.0;0;;;;;;;0;2;111;1;129;0;210
02:06:05.785;-80;-2;-8.76709;0.0;-8.76709;0;-8;5;-1.40625;0.0;-2.0654297;0;511;0;8.217773;0.0;0.0;0;;;;;;;0;1;110;1;125;1;207
02:06:05.841;-81;-5;-8.76709;0.0;-8.76709;0;-4;4;-1.40625;0.0;-2.0654297;0;509;0;8.239746;0.0;0.0;0;;;;;;;0;3;109;2;128;1;198
02:06:05.893;-79;6;-8.76709;0.0;-8.76709;0;-5;-6;-1.40625;0.0;-2.0654297;0;510;0;8.217773;0.0;0.0;0;;;;;;;0;4;106;2;122;1;205
02:06:05.940;-83;-4;-8.76709;0.0;-8.76709;0;-8;6;-1.40625;0.0;-2.0654297;0;505;0;8.239746;0.0;0.0;0;;;;;;;0;5;101;2;117;1;194
02:06:05.998;-79;-5;-8.745117;0.0;-8.76709;0;-4;5;-1.40625;0.0;-2.0654297;0;510;1;8.239746;0.0;0.0;0;;;;;;;0;4;97;2;111;1;193
02:06:06.45;-82;8;-8.76709;0.0;-8.76709;0;-3;-13;-1.40625;0.0;-2.0654297;0;511;-1;8.239746;0.0;0.0;0;;;;;;;0;6;94;3;108;0;199
02:06:06.99;-83;-7;-8.76709;0.0;-8.76709;0;-8;13;-1.40625;0.0;-2.0654297;0;506;0;8.239746;0.0;0.0;0;;;;;;;0;7;90;4;103;1;205
02:06:06.148;-81;10;-8.76709;0.0;-8.76709;0;-5;-18;-1.40625;0.0;-2.0654297;0;512;-3;8.217773;0.0;0.0;0;;;;;;;0;17;87;10;98;1;202
02:06:06.195;-81;-12;-8.76709;0.0;-8.76709;0;-5;16;-1.40625;0.0;-2.0654297;0;507;0;8.217773;0.0;0.0;0;;;;;;;0;14;84;8;95;1;199
02:06:06.252;-81;-2;-8.76709;0.0;-8.76709;0;-7;7;-1.40625;0.0;-2.0654297;0;506;0;8.217773;0.0;0.0;0;;;;;;;0;12;82;7;92;1;191
02:06:06.300;-79;0;-8.76709;0.0;-8.76709;0;-8;-1;-1.40625;0.0;-2.0654297;0;512;0;8.217773;0.0;0.0;0;;;;;;;0;5;81;2;89;0;180
02:06:06.349;-81;-1;-8.76709;0.0;-8.76709;0;-6;5;-1.40625;0.0;-2.0654297;0;512;0;8.217773;0.0;0.0;0;;;;;;;0;5;78;2;87;1;190
02:06:06.403;-81;-6;-8.76709;0.0;-8.7890625;0;-6;10;-1.40625;0.0;-2.0654297;0;502;2;8.217773;0.0;0.0;0;;;;;;;0;9;76;4;84;0;220
02:06:06.451;-82;0;-8.76709;0.0;-8.76709;0;-6;-1;-1.40625;0.0;-2.0654297;0;513;0;8.217773;0.0;0.0;0;;;;;;;0;15;75;8;83;1;220
02:06:06.499;-79;4;-8.76709;0.0;-8.76709;0;-7;-8;-1.40625;0.0;-2.0654297;0;508;-1;8.217773;0.0;0.0;0;;;;;;;0;8;72;4;80;0;211
02:06:06.558;-81;-10;-8.76709;0.0;-8.76709;0;-7;19;-1.40625;0.0;-2.0654297;0;507;0;8.217773;0.0;0.0;0;;;;;;;0;9;71;5;77;1;206
02:06:06.606;-84;-1;-8.76709;0.0;-8.76709;0;-5;1;-1.40625;0.0;-2.043457;0;509;2;8.217773;0.0;0.0;0;;;;;;;0;15;69;8;76;0;208
02:06:06.662;-81;-4;-8.76709;0.0;-8.76709;0;-7;10;-1.40625;0.0;-2.0654297;0;505;1;8.217773;0.0;0.0;0;;;;;;;0;11;68;6;73;1;208
02:06:06.711;-80;9;-8.76709;0.0;-8.76709;0;-5;-16;-1.40625;0.0;-2.0654297;0;508;0;8.217773;0.0;0.0;0;;;;;;;0;15;66;9;71;1;208
02:06:06.759;-81;-3;-8.76709;0.0;-8.76709;0;-7;8;-1.40625;0.0;-2.0654297;0;507;0;8.217773;0.0;0.0;0;;;;;;;0;12;65;7;70;1;213
02:06:06.817;-80;-7;-8.76709;0.0;-8.76709;0;-6;13;-1.40625;0.0;-2.0654297;0;509;0;8.217773;0.0;0.0;0;;;;;;;0;10;64;5;68;0;215
02:06:06.863;-81;0;-8.76709;0.0;-8.76709;0;-6;0;-1.40625;0.0;-2.0654297;0;506;1;8.217773;0.0;0.0;0;;;;;;;0;9;63;5;68;1;235
02:06:06.912;-82;8;-8.76709;0.0;-8.76709;0;-6;-11;-1.40625;0.0;-2.0654297;0;506;0;8.217773;0.0;0.0;0;;;;;;;0;10;62;5;66;1;217
02:06:06.967;-79;-1;-8.76709;0.0;-8.76709;0;-5;-2;-1.40625;0.0;-2.0654297;0;505;0;8.217773;0.0;0.0;0;;;;;;;0;9;61;5;65;1;208
02:06:07.18;-81;-2;-8.76709;0.0;-8.76709;0;-7;6;-1.40625;0.0;-2.0654297;0;509;-1;8.217773;0.0;0.0;0;;;;;;;0;6;60;4;64;1;202
02:06:07.72;-78;0;-8.76709;0.0;-8.76709;0;-6;2;-1.40625;0.0;-2.0654297;0;512;0;8.217773;0.0;0.0;0;;;;;;;0;5;59;3;62;1;195
02:06:07.120;-81;6;-8.76709;0.0;-8.76709;0;-7;-9;-1.40625;0.0;-2.043457;0;509;-1;8.217773;0.0;0.0;0;;;;;;;0;4;59;2;62;1;201
02:06:07.178;-78;-3;-8.76709;0.0;-8.76709;0;-6;3;-1.40625;0.0;-2.0654297;0;510;1;8.217773;0.0;0.0;0;;;;;;;0;4;60;2;61;0;193
